"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,SEASON_DESCRIPTION,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v
States,Florida,Season 2022-23,2562,333,808,16,2,132,0,0
States,Georgia,Season 2022-23,3227,456,1034,206,3,155,0,0
States,Hawaii,Season 2022-23,896,93,270,16,14,44,0,0
States,Idaho,Season 2022-23,7915,401,1032,57,2,5,0,0
States,Illinois,Season 2022-23,54058,163,384,337,1,3,0,0
States,Indiana,Season 2022-23,864,17,24,3,0,4,0,0
States,Iowa,Season 2022-23,527,105,212,9,4,115,0,0
States,Kansas,Season 2022-23,1289,24,71,65,2,4,0,0
States,Kentucky,Season 2022-23,509,61,41,0,0,2,0,0
States,Louisiana,Season 2022-23,1619,27,13,1,5,5,0,0
States,Maine,Season 2022-23,279,7,2,0,1,1,0,0
States,Maryland,Season 2022-23,763,3,116,9,0,2,0,0
States,Massachusetts,Season 2022-23,861,101,327,2,2,1,0,0
States,Michigan,Season 2022-23,2088,293,495,7,6,68,0,1
States,Minnesota,Season 2022-23,2085,123,880,56,1,24,0,0
States,Mississippi,Season 2022-23,205,41,40,0,0,6,0,0
States,Missouri,Season 2022-23,1763,133,222,20,0,4,0,0
States,Montana,Season 2022-23,474,130,185,6,0,7,0,0
States,Nebraska,Season 2022-23,3132,35,82,196,7,6,0,0
States,Nevada,Season 2022-23,24186,67,120,259,5,7,0,0
States,New Hampshire,Season 2022-23,4146,25,29,6,1,4,0,0
States,New Jersey,Season 2022-23,1126,39,109,9,15,1,0,0
States,New Mexico,Season 2022-23,3090,343,654,60,3,27,0,1
States,New York,Season 2022-23,25846,105,442,461,44,9,0,0
States,North Carolina,Season 2022-23,987,88,250,8,0,10,0,0
States,North Dakota,Season 2022-23,467,82,174,1,0,1,0,0
States,Ohio,Season 2022-23,3448,752,381,4,0,26,0,0
States,Oklahoma,Season 2022-23,929,24,32,1,0,2,0,0
States,Oregon,Season 2022-23,16443,381,881,36,1,1,0,0
States,Pennsylvania,Season 2022-23,53220,232,352,43,0,35,0,0
States,Rhode Island,Season 2022-23,14622,59,171,1383,2,33,0,0
States,South Carolina,Season 2022-23,789,69,97,60,1,2,0,0
States,South Dakota,Season 2022-23,499,164,98,15,1,12,0,0
States,Tennessee,Season 2022-23,646,130,123,13,1,4,0,0
States,Texas,Season 2022-23,4082,193,263,11,56,8,0,0
States,Utah,Season 2022-23,1119,190,321,0,0,35,0,0
States,Vermont,Season 2022-23,163,15,82,2,0,0,0,0
States,Virginia,Season 2022-23,1461,41,118,16,0,1,0,0
States,Washington,Season 2022-23,9710,292,596,155,4,30,0,0
States,West Virginia,Season 2022-23,619,221,253,11,0,15,0,0
States,Wisconsin,Season 2022-23,2443,165,567,42,4,15,0,0
States,Wyoming,Season 2022-23,2905,59,123,188,11,4,0,0
States,Alabama,Season 2023-24 ,36,5,0,0,0,11,0,0
States,Alaska,Season 2023-24 ,X,X,X,X,X,X,X,X
States,Arizona,Season 2023-24 ,800,132,6,0,0,6,0,0
States,Arkansas,Season 2023-24 ,337,4,5,6,0,7,0,0
States,California,Season 2023-24 ,1544,352,63,95,15,19,0,0
States,Colorado,Season 2023-24 ,85,35,3,3,1,14,0,0
States,Connecticut,Season 2023-24 ,473,83,3,6,2,10,0,0
States,Delaware,Season 2023-24 ,512,96,12,12,1,7,0,0
States,District of Columbia,Season 2023-24 ,315,46,15,5,0,3,0,0
States,Florida,Season 2023-24 ,736,248,46,27,15,208,0,0
States,Georgia,Season 2023-24 ,826,179,17,113,0,77,0,0
States,Hawaii,Season 2023-24 ,501,110,40,1,4,48,0,0
States,Idaho,Season 2023-24 ,91,37,5,1,0,7,0,0
States,Illinois,Season 2023-24 ,1067,17,10,19,2,1,0,0
States,Indiana,Season 2023-24 ,56,5,7,0,0,2,0,0
States,Iowa,Season 2023-24 ,178,64,35,13,9,30,0,0
States,Kansas,Season 2023-24 ,154,2,0,12,4,0,0,0
States,Kentucky,Season 2023-24 ,78,48,2,0,0,7,0,0
States,Louisiana,Season 2023-24 ,969,73,0,23,12,43,0,0
States,Maine,Season 2023-24 ,139,96,18,0,0,7,0,0
States,Maryland,Season 2023-24 ,134,5,2,6,0,0,0,0
States,Massachusetts,Season 2023-24 ,190,85,22,0,0,0,0,0
States,Michigan,Season 2023-24 ,368,118,18,0,8,21,0,0
States,Minnesota,Season 2023-24 ,383,111,23,11,15,13,0,0
States,Mississippi,Season 2023-24 ,58,2,0,7,2,6,0,0
States,Missouri,Season 2023-24 ,120,24,0,2,0,2,0,0
States,Montana,Season 2023-24 ,142,58,27,1,0,20,0,0
States,Nebraska,Season 2023-24 ,173,17,4,9,3,6,0,0
States,Nevada,Season 2023-24 ,3094,169,33,595,116,53,0,0
States,New Hampshire,Season 2023-24 ,274,37,8,8,1,4,0,0
States,New Jersey,Season 2023-24 ,98,26,6,2,2,0,0,0
States,New Mexico,Season 2023-24 ,437,21,2,0,0,4,0,0
States,New York,Season 2023-24 ,2684,13,11,39,0,7,0,0
States,North Carolina,Season 2023-24 ,114,50,1,3,0,5,0,0
States,North Dakota,Season 2023-24 ,83,62,6,1,0,4,0,0
States,Ohio,Season 2023-24 ,137,120,9,0,0,1,0,0
States,Oklahoma,Season 2023-24 ,47,0,2,0,0,0,0,0
States,Oregon,Season 2023-24 ,1650,6,4,0,0,0,0,0
